StudentID,Age,Gender,Program,Year,CGPA,AttendancePercent,Scholarship,DistanceKM,ParentsEducation,FamilyIncome,PlacementStatus,Internship,ExtraCurricularScore,SatisfactionScore,EngagementScore,FeesPendingMonths,ModeOfStudy,CounselingSessions,MentorAssigned,PreviousInstitution,Churn
S000001,20,Female,IT,3,7.19,70.8,No,6.8,High School,<2L,Not Placed,Yes,6.0,7.0,83,0,Offline,0,Yes,Public,0
S000002,22,Male,EEE,4,7.5,65.8,No,9.2,High School,<2L,Partially Placed,No,4.4,6.0,77,0,Online,0,Yes,Private,1
S000003,19,Female,ECE,2,7.46,83.2,Yes,5.9,Postgraduate,2-5L,Not Placed,No,3.5,8.5,75,3,Offline,2,Yes,Public,1
S000004,23,Male,CSE,1,7.82,84.3,No,5.9,High School,10-20L,Not Placed,No,4.1,6.1,62,0,Online,2,Yes,Private,0
S000005,22,Male,CSE,3,7.57,78.5,No,1.7,Postgraduate,2-5L,Not Placed,No,6.2,5.2,49,1,Online,2,Yes,Private,1
S000006,20,Male,EEE,3,6.74,76.7,No,20.7,Postgraduate,<2L,Not Placed,No,4.9,6.2,60,0,Hybrid,0,Yes,Private,0
S000007,19,Male,CSE,4,6.11,75.6,No,7.2,Graduate,5-10L,Not Placed,No,10.0,9.0,59,0,Hybrid,0,No,Public,0
S000008,18,Female,CSE,2,8.52,88.7,Yes,7.5,Graduate,<2L,Not Placed,No,5.7,5.3,65,2,Online,1,Yes,Public,1
S000009,17,Male,Civil,4,8.4,77.1,No,18.7,Postgraduate,10-20L,Not Placed,No,1.4,8.9,57,0,Offline,1,Yes,Private,1
S000010,18,Male,Civil,4,8.11,99.0,Yes,5.7,High School,>20L,Not Placed,No,3.8,8.9,74,0,Offline,0,Yes,Private,0
S000011,20,Male,CE,2,7.04,86.1,No,4.5,Professional,2-5L,Not Placed,No,3.4,5.6,63,0,Offline,2,Yes,Private,0
S000012,17,Male,ECE,4,8.15,90.7,No,5.8,Postgraduate,5-10L,Partially Placed,No,3.4,7.8,100,1,Online,2,Yes,Public,0
S000013,19,Male,IT,4,7.02,75.9,Yes,14.0,High School,2-5L,Placed,No,8.2,6.8,60,1,Offline,2,Yes,Public,0
S000014,18,Male,ECE,4,7.85,88.7,No,4.7,High School,2-5L,Not Placed,No,4.8,7.6,87,1,Offline,0,No,Public,1
S000015,20,Male,ECE,4,8.07,74.5,No,19.0,Graduate,<2L,Partially Placed,No,5.5,8.2,91,1,Hybrid,2,Yes,Private,1
S000016,20,Female,ME,4,7.8,78.9,No,10.8,High School,2-5L,Not Placed,Yes,4.1,6.1,77,0,Online,2,No,Public,1
S000017,21,Other,Civil,1,7.49,79.9,No,7.3,Graduate,<2L,Not Placed,No,4.1,4.3,62,0,Offline,0,Yes,Boarding,0
S000018,24,Male,CE,4,7.53,86.0,No,9.9,High School,5-10L,Not Placed,No,4.5,5.9,66,0,Offline,1,Yes,Public,0
S000019,18,Male,IT,1,7.19,83.9,No,5.7,Graduate,<2L,Not Placed,No,4.8,7.1,67,0,Online,0,Yes,Private,0
S000020,21,Male,EEE,2,7.14,77.1,Yes,20.7,Graduate,>20L,Not Placed,No,7.2,6.1,70,1,Hybrid,0,No,Private,0
